ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Khasi,Khasi,khas1269,Khasi,kha,Eurasia,24.977,91.9998,Austroasiatic
Khmu,Khmu,khmu1256,Khmu,kjg,Eurasia,20.2463,101.671,Austroasiatic
Lyngngam,Lyngngam,lyng1241,India Lyngam,lyg,Eurasia,25.35,91.05,Austroasiatic
Palaung,Palaung,shwe1236,Shwe Palaung,pll,Eurasia,23.6729,97.7972,Austroasiatic
PnarJaintia,PnarJaintia,jain1238,Jaintia,,Eurasia,,,Austroasiatic
WarLamin,WarLamin,warj1242,War-Jaintia,aml,Eurasia,25.1154,91.6266,Austroasiatic
