ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Khasi-1_all-1,,Khasi,1_all,roʔ,roʔ,r o ʔ,,Nagaraja2013,1_all_a,false,^r o ʔ$,default
Lyngngam-1_all-1,,Lyngngam,1_all,prok,prok,p r o k,,Nagaraja2013,1_all_a,false,^p r o k$,default
PnarJaintia-1_all-1,,PnarJaintia,1_all,warɔʔ,warɔʔ,w a r ɔ ʔ,,Nagaraja2013,1_all_a,false,^w a r ɔ ʔ$,default
WarLamin-1_all-1,,WarLamin,1_all,bərɒʔ,bərɒʔ,b ə r ɒ ʔ,,Nagaraja2013,1_all_a,false,^b ə r ɒ ʔ$,default
Palaung-1_all-1,,Palaung,1_all,paj,paj,p a j,,Nagaraja2013,1_all_b,false,^p a j$,default
Khmu-1_all-1,,Khmu,1_all,sam,sam,s a m,,Nagaraja2013,1_all_c,false,^s a m$,default
Khasi-2_and-1,,Khasi,2_and,baːd,baːd,b aː d,,Nagaraja2013,2_and_a,false,^b aː d$,default
Lyngngam-2_and-1,,Lyngngam,2_and,nam,nam,n a m,,Nagaraja2013,,true,^n a m$,default
PnarJaintia-2_and-1,,PnarJaintia,2_and,wa,wa,w a,,Nagaraja2013,2_and_c,false,^w a$,default
WarLamin-2_and-1,,WarLamin,2_and,waː,waː,w aː,,Nagaraja2013,2_and_c,false,^w aː$,default
Khasi-3_animal-1,,Khasi,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,3_animal_a,false,^m r aː d$,default
Lyngngam-3_animal-1,,Lyngngam,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,true,^m r aː d$,default
PnarJaintia-3_animal-1,,PnarJaintia,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,true,^m r aː d$,default
WarLamin-3_animal-1,,WarLamin,3_animal,mrat,mrat,m r a t,,Nagaraja2013,,true,^m r a t$,default
Palaung-3_animal-1,,Palaung,3_animal,to,to,t o,,Nagaraja2013,,true,^t o$,default
Khmu-3_animal-1,,Khmu,3_animal,toː,toː,t oː,,Nagaraja2013,,true,^t oː$,default
Khasi-4_ashes-1,,Khasi,4_ashes,dpej,dpej,d p e j,,Nagaraja2013,4_ashes_a,false,^d p e j$,default
Lyngngam-4_ashes-1,,Lyngngam,4_ashes,əpaw,əpaw,ə p a w,,Nagaraja2013,4_ashes_a,false,^ə p a w$,default
PnarJaintia-4_ashes-1,,PnarJaintia,4_ashes,tpai,tpai,t p a i,,Nagaraja2013,4_ashes_a,false,^t p a i$,default
WarLamin-4_ashes-1,,WarLamin,4_ashes,tvʊ,tvʊ,t v ʊ,,Nagaraja2013,4_ashes_c,false,^t v ʊ$,default
Palaung-4_ashes-1,,Palaung,4_ashes,kəhvaŋ,kəhvaŋ,k ə h v a ŋ,,Nagaraja2013,4_ashes_d,false,^k ə h v a ŋ$,default
Khmu-4_ashes-1,,Khmu,4_ashes,bɔh,bɔh,b ɔ h,,Nagaraja2013,4_ashes_e,false,^b ɔ h$,default
Khasi-5_at-1,,Khasi,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,false,^h a$,default
Lyngngam-5_at-1,,Lyngngam,5_at,he,he,h e,,Nagaraja2013,5_at_a,false,^h e$,default
PnarJaintia-5_at-1,,PnarJaintia,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,false,^h a$,default
WarLamin-5_at-1,,WarLamin,5_at,ti,ti,t i,,Nagaraja2013,5_at_b,false,^t i$,default
Khmu-5_at-1,,Khmu,5_at,daʔ,daʔ,d a ʔ,,Nagaraja2013,5_at_b,false,^d a ʔ$,default
Khasi-6_backanat-1,,Khasi,6_backanat,dien,dien,d i e n,,Nagaraja2013,6_backanat_a,false,^d i e n$,default
Lyngngam-6_backanat-1,,Lyngngam,6_backanat,bad don,bad don,b a d + d o n,,Nagaraja2013,6_backanat_a,false,^b a d + d o n$,default
PnarJaintia-6_backanat-1,,PnarJaintia,6_backanat,rn̩kʰi,rn̩kʰi,r n̩ kʰ i,,Nagaraja2013,6_backanat_b,false,^r n̩ kʰ i$,default
WarLamin-6_backanat-1,,WarLamin,6_backanat,təmpɒŋ,təmpɒŋ,t ə m p ɒ ŋ,,Nagaraja2013,6_backanat_c,false,^t ə m p ɒ ŋ$,default
Palaung-6_backanat-1,,Palaung,6_backanat,krɔŋ,krɔŋ,k r ɔ ŋ,,Nagaraja2013,6_backanat_d,false,^k r ɔ ŋ$,default
Khmu-6_backanat-1,,Khmu,6_backanat,kndrɔːŋ,kndrɔːŋ,k n d r ɔː ŋ,,Nagaraja2013,6_backanat_d,false,^k n d r ɔː ŋ$,default
Khasi-7_bad-1,,Khasi,7_bad,sɲiew,sɲiew,s ɲ i e w,,Nagaraja2013,7_bad_a,false,^s ɲ i e w$,default
Lyngngam-7_bad-1,,Lyngngam,7_bad,kɨncʰa,kɨncʰa,k ɨ n cʰ a,,Nagaraja2013,7_bad_b,false,^k ɨ n cʰ a$,default
PnarJaintia-7_bad-1,,PnarJaintia,7_bad,siʔ,siʔ,s i ʔ,,Nagaraja2013,7_bad_c,false,^s i ʔ$,default
WarLamin-7_bad-1,,WarLamin,7_bad,kɒ͂m,kɒ͂m,k ɒ̃ m,,Nagaraja2013,7_bad_d,false,^k ɒ͂ m$,default
Palaung-7_bad-1,,Palaung,7_bad,kʰu (?),kʰu,kʰ u,,Nagaraja2013,7_bad_e,false,^kʰ u$,default
Khmu-7_bad-1,,Khmu,7_bad,ɲoːɲ,ɲoːɲ,ɲ oː ɲ,,Nagaraja2013,7_bad_f,false,^ɲ oː ɲ$,default
Khasi-8_barkoftree-1,,Khasi,8_barkoftree,snep,snep,s n e p,,Nagaraja2013,8_barkoftree_a,false,^s n e p$,default
Lyngngam-8_barkoftree-1,,Lyngngam,8_barkoftree,snieʔ,snieʔ,s n i e ʔ,,Nagaraja2013,8_barkoftree_a,false,^s n i e ʔ$,default
PnarJaintia-8_barkoftree-1,,PnarJaintia,8_barkoftree,sneiʔ,sneiʔ,s n e i ʔ,,Nagaraja2013,8_barkoftree_a,false,^s n e i ʔ$,default
WarLamin-8_barkoftree-1,,WarLamin,8_barkoftree,snɪəʔ,snɪəʔ,s n ɪ ə ʔ,,Nagaraja2013,8_barkoftree_a,false,^s n ɪ ə ʔ$,default
Palaung-8_barkoftree-1,,Palaung,8_barkoftree,gɔʔ,gɔʔ,g ɔ ʔ,,Nagaraja2013,8_barkoftree_b,false,^g ɔ ʔ$,default
Khmu-8_barkoftree-1,,Khmu,8_barkoftree,səŋkhraʔ,səŋkhraʔ,s ə ŋ kʰ r a ʔ,,Nagaraja2013,8_barkoftree_c,false,^s ə ŋ kh r a ʔ$,default
Khasi-9_because-1,,Khasi,9_because,namar,namar,n a m a r,,Nagaraja2013,9_because_a,false,^n a m a r$,default
Lyngngam-9_because-1,,Lyngngam,9_because,amte,amte,a m t e,,Nagaraja2013,9_because_b,false,^a m t e$,default
PnarJaintia-9_because-1,,PnarJaintia,9_because,neibʰaʔ,neibʰaʔ,n e i bʰ a ʔ,,Nagaraja2013,9_because_c,false,^n e i bʰ a ʔ$,default
WarLamin-9_because-1,,WarLamin,9_because,kaʔ,kaʔ,k a ʔ,,Nagaraja2013,9_because_d,false,^k a ʔ$,default
Khmu-9_because-1,,Khmu,9_because,jɔʔ,jɔʔ,j ɔ ʔ,,Nagaraja2013,9_because_e,false,^j ɔ ʔ$,default
Khasi-10_belly-1,,Khasi,10_belly,kpoʔ,kpoʔ,k p o ʔ,,Nagaraja2013,10_belly_a,false,^k p o ʔ$,default
Lyngngam-10_belly-1,,Lyngngam,10_belly,ləwbaʔ,ləwbaʔ,l ə w b a ʔ,,Nagaraja2013,10_belly_b,false,^l ə w b a ʔ$,default
PnarJaintia-10_belly-1,,PnarJaintia,10_belly,kpɔʔ,kpɔʔ,k p ɔ ʔ,,Nagaraja2013,10_belly_a,false,^k p ɔ ʔ$,default
WarLamin-10_belly-1,,WarLamin,10_belly,pɒʔ,pɒʔ,p ɒ ʔ,,Nagaraja2013,10_belly_a,false,^p ɒ ʔ$,default
Palaung-10_belly-1,,Palaung,10_belly,vɛʔ,vɛʔ,v ɛ ʔ,,Nagaraja2013,10_belly_c,false,^v ɛ ʔ$,default
Khmu-10_belly-1,,Khmu,10_belly,luːj,luːj,l uː j,,Nagaraja2013,10_belly_d,false,^l uː j$,default
Khasi-11_big-1,,Khasi,11_big,heʔ,heʔ,h e ʔ,,Nagaraja2013,11_big_a,false,^h e ʔ$,default
Lyngngam-11_big-1,,Lyngngam,11_big,kɨmba,kɨmba,k ɨ m b a,,Nagaraja2013,11_big_b,false,^k ɨ m b a$,default
PnarJaintia-11_big-1,,PnarJaintia,11_big,hɛʔ,hɛʔ,h ɛ ʔ,,Nagaraja2013,11_big_a,false,^h ɛ ʔ$,default
WarLamin-11_big-1,,WarLamin,11_big,mɪa,mɪa,m ɪ a,,Nagaraja2013,11_big_b,false,^m ɪ a$,default
Palaung-11_big-1,,Palaung,11_big,daŋ,daŋ,d a ŋ,,Nagaraja2013,11_big_c,false,^d a ŋ$,default
Khmu-11_big-1,,Khmu,11_big,hnam,hnam,h n a m,,Nagaraja2013,11_big_d,false,^h n a m$,default
Khasi-12_bird-1,,Khasi,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,false,^s i m$,default
Lyngngam-12_bird-1,,Lyngngam,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,false,^s i m$,default
PnarJaintia-12_bird-1,,PnarJaintia,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,false,^s i m$,default
WarLamin-12_bird-1,,WarLamin,12_bird,ksem,ksem,k s e m,,Nagaraja2013,12_bird_a,false,^ks e m$,default
