ID,Name,Glottocode,ISO639P3code
Khasi,Khasi,khas1269,kha
Khmu,Khmu,khmu1256,kjg
Lyngngam,Lyngngam,lyng1241,lyg
Palaung,Palaung,shwe1236,pll
PnarJaintia,PnarJaintia,jain1238,
WarLamin,WarLamin,warj1242,aml
