Grapheme	IPA
^	NULL
$	NULL
a	a
i	i
ʔ$	ʔ
e	e
ə	ə
ŋ$	ŋ
^s	s
t$	t
n	NULL
^k	k
m$	m
ɨ	ɨ
r	r
o	o
^t	t
r$	r
m	m
u	u
^p	p
l	l
a$	a
^h	h
n$	n
_	+
^l	l
j$	j
^d	d
i$	i
t	t
^m	m
ɔ	ɔ
ŋ	ŋ
^r	r
^b	b
^kʰ	kʰ
ʔ	ʔ
d	d
ɪ	ɪ
w$	w
^j	j
k$	k
p$	p
^ɟ	ɟ
aː	aː
^n	n
h$	h
b	b
^ʔ	ʔ
e$	e
^tʰ	tʰ
p	p
j	j
ʊ	ʊ
nn	nː
ɒ	ɒ
ɛ	ɛ
ɲ$	ɲ
^g	g
d$	d
^pʰ	pʰ
-	+
ə$	ə
^ʃ	ʃ
k	k
ll	lː
^w	w
^ɨ	ɨ
kʰ	kʰ
ɔː	ɔː
u$	u
ɯ	ɯ
ә	ə
ʊ$	ʊ
v	v
w	w
uː	uː
aː$	aː
o$	o
^ks	k s
^c	c
tʰ	tʰ
ɟ	ɟ
ɲ	ɲ
^u	u
^ŋ	ŋ
^kh	kʰ
^i	i
h	h
n̩	n̩
^a	a
^ʧ	tʃ
mm	mː
^ə	ə
^ɲ	ɲ
s	s
oː	oː
ns	n s
ɔ$	ɔ
l$	l
^tʃ	tʃ
^u$	u
ɛː	ɛː
^v	v
c$	c
^dʒ	dʒ
əː	əː
ɛ$	ɛ
ɯ$	ɯ
dʒ	dʒ
^cʰ	cʰ
oʲ	oi̯
l̩	l̩
θ	θ
^θ	θ
g	g
rr	rː
^ʰm	ʰm
cʰ	cʰ
aʲ	ai̯
pʰ	pʰ
Ɂ$	ʔ
aːʲ	aːi̯
ʃ	ʃ
r̩	r̩
^ʰr	ʰr
s$	s
^ɪ	ɪ
m̩	m̩
^ps	p s
^o	o
ʌ	ʌ
ɒ͂	ɒ̃
kh	kʰ
iː	iː
^e	e
^ʰl	ʰl
eʲ	ei̯
tʃ	tʃ
eː	eː
oːʲ	oːi̯
^bʰ	bʰ
eː$	eː
iː$	iː
ә$	ə
c	c
^rw	r w
^bs	b s
^ph	pʰ
ɔː$	ɔː
oː$	oː
bʰ	bʰ
rs	r s
n̩s	n̩ s
^ɵ	ɵ/θ
^rh	rʰ
і$	i
dʒʲ	dʒʲ
uːʲ	uːi̯
n̩h	n̩ h
ɨː	ɨː
rrʰ	rʰː
ŋŋ	ŋː
^e$	e
rʰ	rʰ
ɲʲ	ɲʲ
əː$	əː
ã	ã
^ɔ	ɔ
^m̩$	m̩
ps	p s
ü$	y
ŋh	ŋ̍ h
^kʰw	kʰ w
^tw	t w
rʃ	r ʃ
ʧ	tʃ
^ɛ	ɛ
ŋw	ŋ w
^lw	l w
ĩ	ĩ
^ñ	ɲ
ñ$	ɲ
ñ	ɲ
^ʰn	ʰn
aːj	aːi̯
r̩̩	r̩
ɟ$	ɟ
^a:	aː
ʊ͂	ʊ̃
^-	NULL
ej	ei̯
aj	ai̯
oj	oi̯
nʃ	n ʃ
^i$	i
^ɟʰ	ɟʰ
^dʒh	dʒʰ
^n̩	n̩
