Word	Gloss	Scores	Khasi	Lyngngam	Pnar/Jaintia	War/Lamin	Palaung	Khmu
75	how	abacdd	kumno	naŋ net	kammɔn	kinjaʔ	kʰɯj mɔ	nɛːw məʔ
76	to hunt	abcdef	beʔ (mraːd)	wuŋ na	lai siɛt dɔʔ	pətar	ɟɔm	jɔh laʔ briʔ
77	husband	abbacd	tŋa / lok	koraŋ	lɔk	lɒk	rəleh	gleʔ
78	I	aaaabb	ŋa	nə	ŋa	ŋә	ʔɔ	ʔoʔ
79	ice	aaaa*b	tʰaʔ	tʰaʔ-əlliʔ	tʰaʔ	tʰaʔ	je ge	ʔom kloːn
80	if	aaab*c	lada	lede	lada	nimә	--	ʔan
81	in	aaab*c	ha	he	ha	ti	naə	kluəŋ
82	to kill	aaaabc	pɨnjap	pɨnɲap	pn̩jap	pәnjip	piəm	pʰaːn
83	to know	abaacd	tip	heʔkən	tɪp	tɒʔ	nəp	nəːŋ
84	lake	aaab**	puŋ	puŋ	puŋ	sʊ	nɔŋ	-
85	to laugh	abac*d	rkʰie	ɨllom	rkʰai	rʊ	jum	kʰras
86	leaf	aaaaaa	sla	sla	sla	sli	hla	ʰlaʔ
87	left side	aaaabb	diaŋ	tɨmmiəŋ	tidiɛŋ	di par ta dɪəŋ	ʔi-ve	luəŋ weʔ
88	leg	aaabcd	kɟat	kɟat	kdʒat	nɪa	ɟɯŋ	plɔːŋ
89	to lie, deceive	abcdef	tʰok	tʰɨlloʲt	dʒlɛr	pənrɒʔ	cɔʔ	ɲuəʔ
90	to live	aaaaab	im	ɨnnim	ɪm	pʔem	im	jat
91	liver	aaabbc	doʔnuːd	noːd	noːd	kθim	kərtɔm	tlɔːm rɔŋ
92	long	aaaabc	ɟroŋ	ɟɨrroŋ	dʒrɔŋ	kərɒŋ	hlɯŋ	waːŋ
93	louse	abaaaa	ksi / ɟɨnreiɲ	sɨlliet	ksi	ksa	si	seʔ
94	man-male	aaabbc	ʃɨnraŋ	kʰonkoraŋ	cn̩raŋ	tәrma	ime	cmbrɔʔ
95	many	aaaabc	bun	bon	bon	ʃibʊə	kɯn, bərcɯ	maːk
96	meat-flesh	abaacd	doʔ	meʲm	dɔʔ	dɒʔ	jəŋ	ʔah
97	mother	aaaaaa	kmie	gma	bei	maː	ma	maʔ
98	mountain	aaabcd	lum	dom	lom	pdeŋ	sor	mok
99	mouth	abcdef	ʃɨntur	gap	ktein	tkɒŋ	mur	tnɔh
100	name	a*bc*d	kɨrteŋ	kɨrteŋ	pr̩tuid	tvɪәŋ	ɟɯ	sŋməh
101	narrow	a*a**b	raʃiŋ / bakʰim	bakʰim	kʰɪm	--	ɔp	sgɛːp
102	near	aaaabc	ɟan	ɟŋan	dʒan	tjan	dət	leh
103	neck	abaacd	rɨndaŋ	kraŋ	rdaŋ	rdaŋ	rəmɔŋ	kntuər
104	new	aaaaaa	tʰɨmmaj	tʰɨmmaj	tʰm̩me	θmaː	kənmɛ	hmmeʔ
105	night 	abaacc	miet	sənɲu	meit	ləmaʔ	sɯm	psɨəm
106	nose	aaabaa	kʰmut	leumut	kʰmut	mərkɒ͂ŋ	muh, mur	muh
107	not 	aabbca	ɨm	ɨnɟi	m̩	tɒʔ tə	kə	ʔam
108	old	aaaaab	rim	rim	rɪm	sәrem	prim	ʰmaŋ
109	one	aaabcb	uwej	uwew	wi	mi	u	moːj
110	other	aa**b*	ki-wej	marber	kɔpsar	--	laj	baŋ
111	person	aaaab*	briew	brü	bru	tjəpreʊ	bi	gon
112	to play	abacde	leʔ kaj	kʰellaj	kn̩deiʔ ke	khirʊ	kəvɛʔ	tŋhɔːj
113	to pull	abacde	tan	rɨnnieŋ	tan	pətɪaʔ	rɯit, tɯt	toh
114	to push	abacde	kʰɨnniaʔ	kɨncʰew	ŋiat	khən jit	con	kɲuːt
115	to rain	aaaabc	slap	slap	slap	slaː	ɟuŋ	kmaʔ
116	red	aaaabc	saw	ənsaw	so	sɪa	kʰo, ni	jim
117	right-correct	aabb**	dej	dew	tɔʔ	tɒʔ	--	mɛːn
118	right side	aaaa*b	mon	tɨm-mon	timun	di par ta mɒn	kʰwa	luəŋ ham
119	river	abaccd	waʔ	por	waʔ	ʔam	om	ʰroŋ
120	road 	abacde	lɨnti	twar	sərɔk	sərɒk	deŋ	ŋɔːr
121	root	aabbaa	tɨnraj	tɨrraj	tʰeid	ʃit	riər	riəs
122	rope	abacde	tɨllaj	laŋnaj	tl̩le	tәrʊ	vər	cməʔ
123	rotten	abacde	pʔut	ɟɨllit	pʔut	khvi	əm	ʰmuʔ
124	to rub	aaaaab	kɨrʃut	kɨrcʰut	kr̩tʃut	kənʧʊt	sut	huk, hntɔh
125	salt	aaaabc	mluʔ	maluk	bloʔ	pnʊʔ	sɔɁ	ʰmaːr
126	sand	aaabcd	ʃʔiap	cʰʔjap	tʃʔɛʌp	sәrvʊ	saj	sreh
127	to say	aaaabc	oŋ	ɨnnoŋ	ʔɔŋ	ʔɒŋ	dah	sroʔ
128	to scratch	aabbcd	truːd	tɨrrut	tʃbɔt	kʰəbɒʔ	pɔɁ	gor
129	sea	a*aa**	duriaw	duriaw	duriaw	dʊrɪəʊ	--	--
130	to see	aabcad	joʔi	muɟoʔ	pait	maʔ	jɯ	guːɲ
131	seed	abaacd	sɨmbaj	ɟellej	sm̩be	tjʊsba	kəʔaŋ	klɔːŋ
132	to sew	aaaabc	suʔ	sɨnnek	sor	sʊ	ɟiŋ	lɔs
133	sharp (blade)	abaacd	nep	ɨntaʔ	nɛp	nep	ləm	ʔoh
134	short	abbcde	lɨŋkot	tɨmban	tbien	ʧrit	ɛm	hndeʔ
135	to sing	aaaabc	rwaj	rɨŋwi	rwai	rvʊ	ŋir	təːm
136	to sit	aaabcd	ʃoŋ	cʰoŋ	tʃɔŋ	ʃkɪə	mɔʔ	den
137	skin	aaaabc	snieʔ doʔ	snieʔ mejm	sneiʔ	snɪəʔ	hur	hmpuːr
138	sky	aba*ac	bneŋ	brej	bneiɲ	--	pleŋ	lwaːŋ
139	to sleep	abaacd	tʰiaʔ	ɨnɲiɲ	tʰiaʔ	θɪəʔ	ʔit	sih
140	small	abcdbe	rit	doh-dit	kʰeiɲ	sbɪət	diət	kʔnɛːŋ
141	to smell	abacde	sma	ɨnnaw	sma	rʔɪəŋ	ʔur	mec
142	smoke	abaabb	tdem	ɨntʰak	tdɛm	tdem	tɯk	ptəʔ
143	smooth	abaacd	ɟliʔ	ɟɨmpaj	jaliʔ	tjəlliʔ	kleət	lmɛːt
144	snake	aaaaab	bseɲ	bseɲ	pseiɲ	psen	hiŋ	mar
145	snow	a*bc**	jor	jor	tʰaʔ	ksɪəŋ məŋ	--	--
146	some	aabcde	kʰɨndiat	taʔ-diat	kʰaɟiak	ʃitjĩŋ	pərdi	laːŋ
147	to spit	abbbac	biaʔ	ɟɨrtʰew	mn̩tʰu	pəθeʊ	bɛʔ	kɟuh
148	to split	abaacd	pʰiaʔ	tʰɨllaʔ	pʰiaʔ	phit, khlɪəʔ	ploh	lak
149	to squeeze	aabccc	kʰem	kʰɨnnim	ksiʔ	ʧəpɪə	piət	pɨət
150	to stab-pierce	aaaabc	duŋ	daneŋ	duŋ	tәndʊŋ	bruh	keɲ
151	to stand	aaaaab	ieŋ	ñiəŋ	jeiɲ	rәŋ	ɟəŋ	dɨn
152	star	aaabbb	kʰlur	kʰlor	kʰlor	khlʊə ʃmen	səmiŋ	srmeɲ
153	stick (of wood)	aabcde	dieŋ	ədiəŋ	deiñ	pərnɪa	hviət	lmpaːk
154	stone	aaaaab	maw	maw	mo	ʃmɪa	mo	glaːŋ
155	straight	abaacd	biet	lɨmpʰar	beit	bɪt	pʰiəŋ	teːr
156	to suck	aabcbb	kɟit	kɨnɟok	bu	tjʊr	bu, but	buʔ
157	sun	aaaaab	sŋi	sŋej	sŋi	njʊŋa	səŋi	mat briʔ
158	to swell	aaaaba	at	ɨnnat	ad	ʔat	gɯ	ʔɛh
159	to swim	aabacd	ɟŋi	ɟɨnnaj	jm̩pa	rɪəŋ	lɔj	cʰaːj, kljɔːŋ
160	tail	aaaabb	tdoŋ	kdoŋ	tdɔŋ	tdɒŋ	staʔ	hntaʔ
161	that 	aaabac	-ta / -tej	ga-tej	katai	ke/u tʊn	taj	ʰnaːj
162	there	aabc*d	katʰie	gatʰoʔ	heitai	tʊ tʊn	--	daʔ naːj
163	they	abacad	ki	gniʔ	ki	jə	ge	nɔː
164	thick	aaaaba	rben	rɨmbin	rbɛn	rben	hət	hmbɨl
165	thin	aaa*bc	staŋ	sɨntaŋ	staŋ	staŋ	hrer	hndaʔ
166	think	a***ba	pɨrkʰat	pɨrkʰat	pr̩̩kʰat	pərkhat	tʰaŋ	trgət
167	this	aaaabc	-ne	ga-niʔ	kani	ke/u ne	ʔɯ	giː
168	thou	aaabaa	me / pʰa	mi / pʰe	me / pʰa	ɪəm (m) / ɪəhe (f)	mi	meː
169	three	aaaabc	laj	laj	le	la	ʔuəj	peʔ
170	to throw	abcdef	kawaŋ	lɨntʰew	pakʰɔt	phədat	rup	pʰok
171	to tie	aabcaa	teʔ	tɨnnak	kdɔʔ	kʊt	toʔ	tuk
172	tongue	aaaabb	tʰɨllieɟ	tʰɨlloʲt	tʰl̩leiʔ	khlit	kərtaʔ	hntaːk
173	tooth	abbbcc	bniat	moʲɲ	lʌmeiɲ	ləmen	hraŋ	ʰraːŋ
174	tree	aaabcd	dieŋ	diəŋ	deiɲ	tvɪa	he	sʔɔːŋ
175	to turn	a*bcdc	kɨlla	kɨlla	dɔŋ	khərvi	pən	wer
176	two	aaaaaa	a:r	ar	ar	ʔʊ͂ə	ʔar	baːr
177	to vomit	aaabcc	prei	pɨrraw	prai	hərɒʔ	hɯr	hɨəl
178	to walk	abcd*e	jaːʲd	dinniʔ	lai kdʒat	lɪa	pʰət	jɔh
179	warm	abbcde	sʔaːʲd	ɨnʃit	cit	dɒt	kəʔɯr	hʔɨm
180	to wash	a*aabc	sait	sait	sait	ksi	kʰoj, kəta	raː
181	water	Aaaaa*	um	gum	um	ʔam	ʔom	ʔom
182	we	abcccc	ŋi	jew	i	ʔɪə	ʔɛ	ʔiʔ
183	wet	abaacd	ɟʰieʔ	ɟimbaʲt	dʒheiʔ	tjəriəʔ	om pjo pjo	dɛːc, skɔʔ
184	what	abcadd	-ej	umet	ilɛʔ	i a	mɔ	ʰməh
185	when	abac**	lano	mɨnnet	n̩nu	daŋ njaʔ	jam	ɲaːm məʔ
186	where	ab*cde	haej	hanet	tʃeiwʌn	ti njaʔ	mɔ	ʔar məʔ
187	white	aaabcd	lieʔ	əlliʔ	leiʔ	slaŋ	blɔʔ	klɔːk
188	who	abbcde	-no	jət	u/ka ji	u/ke ʔaː	paj	məʔ
189	wide	aaabcc	jar	ɨniər	jar	hɪaŋ	vah	wah
190	wife	abcdef	tŋa	kontʰaw	lɔk	kə lɒk	pənle	kmbraʔ
191	wind	aaaabc	lʔer	lʔier	lʔɛr	srʊə	kur	hndrəːj
192	wing	aaaabc	tʰapŋiaŋ	tʰapnir	tʰawanɛr	θәbәnɪar	peəŋ	pnɨr
193	to wipe	abcdef	ŋiad	innat	ɲiam	ʃʔɪəʔ	kʰut, kʰuit	rmcɛh
194	with	abca*d	bad	nam	wa	bəʔ	--	paʔ
195	woman	abaacd	kɨntʰej	rawkmaw	kn̩tʰai	hənθa	ipən	cmkɨn
196	woods, forest	abacdd	kʰlaw	ləwtəp	kʰlo	kərmɪa	bri	briʔ
197	worm	aaaabc	wieʔ	wiak	weiʔ	khvi	riər	hmbraːj
198	ye > you (pl.)	aaaaab	pʰi	 pʰjaw	pʰi	hi	pɛ	bɔː
199	year	aaaaaa	snem	snim	snɛm	snem	sənəm	nɨm
200	yellow	aaabcb	stem	sɨntim	stɛm	tŋʊə	teŋ	cŋaːr

