Word	Gloss	Scores	Khasi	Lyngngam	Pnar/Jaintia	War/Lamin	Palaung	Khmu
1	all	aaaabc	roʔ	prok	warɔʔ	bərɒʔ	paj	sam
2	and	a*cc**	baːd	nam	wa	waː	-	-
3	animal	a*****	mraːd	mraːd	mraːd	mrat	to	toː
4	ashes	aaacde	dpej	əpaw	tpai	tvʊ	kəhvaŋ	bɔh
5	at	aaab*b	ha	he	ha	ti	--	daʔ
6	back (anat.)	aabcdd	dien	bad don	rn̩kʰi	təmpɒŋ	krɔŋ	kndrɔːŋ
7	bad 	abcdef	sɲiew	kɨncʰa	siʔ	kɒ͂m	kʰu (?)	ɲoːɲ
8	bark (of tree)	aaaabc	snep	snieʔ	sneiʔ	snɪəʔ	gɔʔ	səŋkhraʔ
9	because	abcd*e	namar	amte	neibʰaʔ	kaʔ	(?)	jɔʔ
10	belly	abaacd	kpoʔ	ləwbaʔ	kpɔʔ	pɒʔ	vɛʔ	luːj
11	big	ababcd	heʔ	kɨmba	hɛʔ	mɪa	daŋ	hnam
12	bird	aaaaaa	sim	sim	sim	ksem	sim	siːm
13	to bite	abacde	daʲt	kɨnnap	dait	hit	gaʔ	pok
14	black	aaabcd	joŋ	ɨnɲoŋ	jɔŋ	priŋ	jəm	hiəŋ
15	blood	aaaaaa	snam	snam	snam	rnʊə	hnam	maːm
16	to blow	abcdde	pɨrsat	pʰɨnnur	slu	pet	put	hur
17	bone	aaaaaa	ʃʔeŋ	cʔeŋ	ʧʔeiɲ	ʧɪəʔ	kəʔaŋ	cəʔaːŋ
18	to breathe	aaaaaa	riŋ mɨnsiem	riŋ ɨnsom	rɪɲ mn̩seim	reŋ hənsʊ	pʰɯm	hrɲɨəm
19	to burn	aaaabc	tʰaŋ	ɨntʰaŋ / tʰɨnnəŋ	tʰaŋ	ɵaŋ	gut	pɔːk
20	child	aaaaaa	kʰun	kʰon	kʰɔn	hʊn	kuən	kɔːn
21	cloud	aaabcd	lʔoʔ	lʔoʔ	lʔɔʔ	ləmpem	ut	həmpuːt
22	cold	abccde	kʰriat	bɨnsir	kdʒam	ktjam	kat	huːc
23	to come	abaacd	wan	lɨnnar	wan	va, van	hluh, rɔt	gaːj
24	to count	abacde	ɲjaw	cʰɨnnan	niaw	ʧaː	dir	nap
25	to cut	aabcde	kʰap	kʰɨnnap	aʔ	pam	set	paːt
26	day	aaaaab	sŋi	sŋej	sŋi	ʃŋaː	səŋi	siʔ
27	to die	aaaabc	jap	ɲinnap	jap	jip	jəm	haːn
28	to dig	aaaabc	tiʔ	tɨnniet	tiʔ	tɪəʔ	puər	kʰɨəŋ
29	dirty	abcdef	ɟaboʔ / ɟakʰlia	dɨmmut / ɟɨmbaʲt 	taroj	ʧəmet	ɟu ɟu (?)	ruk
30	dog	aaaaaa	ksew	ksu	ksaw	ksɪa	sɔ	sɔʔ
31	drink	aaaabc	diʔ	dɨnniet	diʔ	deʔ	teəŋ	ʔɨək
32	to dry	aabacd	rkʰiaŋ	riəŋkʰoŋ	raw	rhɪəŋ	raj, roh	həntaŋ
33	dull, blunt	abcd*e	isiʔ	ɟosmoʲt	tʰla	len	--	daːl
34	dust	a*bbcc	pum-pum	pum-pum	dʒl̩pʰoʔ	tjəlpʰʊʔ	kərboh	bɔh
35	ear	aaabcd	ʃkor	ləkur	tʃkɔr	təraŋ	hjɔɁ	rməːj
36	earth	abc*dd	kʰɨndew	kmiəŋ	kʰndaw	pәrθa	kətɛ	pəteʔ
37	eat	aaaacd	baːm	bɨnnəŋ	bam	bʊə	hap	mah
38	egg	aaabcd	pɨlleŋ	pɨllɨŋ	pl̩leiɲ	sʔі	kətəm	kədoŋ
39	eye	aaaaba	kʰmat	kʰmat	kʰmat	mat	ŋaj	mat
40	to fall	abacde	hap	eŋaj	hap	hərem	rar	grɔːj, ʰlon
41	far	aaaaab	ɟŋaj	ɟŋi	dʒŋai	ʧŋʊ	səŋaj	ɟaːr
42	fat-grease	abcdef	sŋaːʲd	ɨmmir	kʰlaɲ	ləʔɒt	kəmu	məːj
43	father	aaaabc	kpa	pa	pa	pa	kun	joŋ
44	to fear	aaaabc	ʃeptieŋ	tieŋ dait	teʲɲ	ktɪәŋ	jɔ	hŋkɨər
45	feather	aaaa*b	sner	snir	tʰawanɛr	θәbәnɪar	--	khuːl
46	few	aab*cd	kʰɨn-diat	tah-diat	kʰadʒʲak	--	bre	laːŋ
47	to fight	aba*cd	jaʃoʔ / jadat	jamuʔ	jatʃɔʔ	jaʔ dat	taik	leːw
48	fire	aaabcd	diŋ	ədoɲ	diɲ	ʃmen	ŋər	pʰrɨə
49	fish	aaaaaa	doʔkʰa	kʰa	dakʰa	hi	ka	kaʔ
50	five	aaaaa*	san	san	san	ran	pʰən	haː
51	to float	abaacd	per	raŋ	pɛr	sper	plɯr	hrloːj
52	to flow	aaabcd	tuːʲd	sɨn-toːʲd	toːʲd	pɒr	hlaj	kɔːr
53	flower	aaabcd	sɨntiew	sɨntew	sn̩tu	khlʊə	poh	raːŋ
54	to fly	abacce	her	kɨndej	pn̩hɛr	pɪar	pər	tɨːr
55	fog	abcade	dum-lʔoʔ	nioŋ nia	lʔɔʔ kʰn̩daw	dʊm	aj	ʔom hmpuːt
56	foot	aaabcc	kɟat	kɟat	kdʒat	nɪa	ɟɯŋ	ɟɨəŋ
57	four	aaaabc	saw	saw	so	rɪa	pʰon	puːl
58	freeze	abaac*	ʃoʔ tʰaʔ	tɨŋŋam / bɨnsier	tʰaʔ	tʰaʔ	krɔʔ	-
59	fruit	aaaabb	soʔ	suʔ	sɔʔ	sɒʔ	ple	pleʔ
60	to give	aaaabc	aj	ɨnnaj	e	ʔaː	dɛh	ʔan
61	good	*a*bcc	bʰa	mɨrrʰiaŋ	bʰa	mɪət	laʔ	ləʔ
62	grass	aaabcd	pʰlaŋ	pʰlaŋ	pʰlaŋ	smʊt	kərban	cit
63	green	aaaabc	ɟɨrŋam	sɨŋiəŋ	jr̩ŋam	ʧərŋam	ɲər	siːw
64	guts, intestines	aaaabb	snier	snor	snɛr	nɒr	rɛŋ	ʰriəŋ
65	hair	aaaaab	sɲiuʔ	sɲiək	sɲʲoʔ	sʊʔ	huʔ	kʰuːl
66	hand	aaaaaa	kti	ktej	kti	taː	ti	tiʔ
67	he	aaaabc	u	ɟutuʔ / umi	u	u	ən	gəː
68	head	aaaabc	kʰlieʔ	kʰliʔ	kʰleiʔ	kʰlɪa	kiŋ	kmpoŋ
69	to hear	aaabcd	sŋap	sŋu	sniaw	sãʔ	ɟu	mec
70	heart	aaaabc	kloŋ snam	kloŋ snam	klɔŋ snam	klɒŋ rnʊə	nuər	tlɔːm ŋok
71	heavy	abcdef	heʔ	kenbaʔ / kʰɨnnia	kʰia	stʊʔ	ɟən	ktam
72	here	aaaa*b	haŋ ne	haniʔ	heini	tineː	--	daʔ giː
73	to hit	abccde	tied	udaʔ	dat	dat	tɯm	puʔ, dɨc
74	to hold-take	abacde	ʃim	tʰom	tʃɪm	lʊm	lɛ	deʔ
